school,thk,prethk,cc,gprethk,d,d2,d3,d4,d5
193,1,5,0,2.153846263885498,1,2,2,3,0
193,2,3,0,2.153846263885498,1,4,0,1,3
193,3,4,0,2.153846263885498,2,1,3,3,3
193,1,0,0,2.153846263885498,3,2,2,2,2
193,2,1,0,2.153846263885498,0,3,3,2,2
193,2,3,0,2.153846263885498,2,1,1,2,0
193,3,1,0,2.153846263885498,2,2,4,2,0
193,3,2,0,2.153846263885498,2,1,2,3,4
193,2,3,0,2.153846263885498,1,1,3,2,1
193,2,2,0,2.153846263885498,2,2,3,4,0
193,4,2,0,2.153846263885498,2,3,3,3,2
193,2,2,0,2.153846263885498,4,3,0,1,1
193,2,3,0,2.153846263885498,0,2,2,2,2
193,3,3,0,2.153846263885498,2,2,1,2,4
193,4,2,0,2.153846263885498,1,2,2,2,3
193,4,3,0,2.153846263885498,0,2,2,2,4
193,1,3,0,2.153846263885498,2,4,2,2,1
193,3,3,0,2.153846263885498,1,1,3,2,1
193,4,2,0,2.153846263885498,2,1,2,2,2
193,2,1,0,2.153846263885498,4,1,1,1,0
193,1,3,0,2.153846263885498,3,2,3,4,2
193,3,0,0,2.153846263885498,3,2,2,0,1
193,1,1,0,2.153846263885498,2,1,1,1,1
193,3,0,0,2.153846263885498,1,2,4,1,3
193,2,1,0,2.153846263885498,2,1,2,4,3
193,4,3,0,2.153846263885498,2,3,2,1,2
194,1,2,0,2.142857074737549,2,2,3,2,4
194,3,0,0,2.142857074737549,2,3,0,2,2
194,2,4,0,2.142857074737549,3,3,2,1,0
194,1,2,0,2.142857074737549,2,2,0,2,2
194,2,0,0,2.142857074737549,1,1,1,1,1
194,1,2,0,2.142857074737549,2,1,2,1,3
194,3,4,0,2.142857074737549,2,1,1,3,2
194,2,2,0,2.142857074737549,1,1,2,1,0
194,3,3,0,2.142857074737549,2,3,4,3,3
194,1,0,0,2.142857074737549,0,2,2,2,1
194,1,2,0,2.142857074737549,1,4,1,4,2
194,1,1,0,2.142857074737549,2,1,0,0,0
194,2,2,0,2.142857074737549,1,2,1,3,4
194,4,3,0,2.142857074737549,4,2,1,3,3
194,4,5,0,2.142857074737549,2,2,2,0,1
194,3,2,0,2.142857074737549,3,2,4,4,3
194,2,2,0,2.142857074737549,1,2,4,2,3
194,2,2,0,2.142857074737549,0,2,4,2,3
194,4,3,0,2.142857074737549,2,1,2,1,2
194,4,3,0,2.142857074737549,3,0,4,3,2
194,1,1,0,2.142857074737549,0,2,2,2,1
194,3,2,0,2.142857074737549,0,1,2,3,2
194,3,1,0,2.142857074737549,2,1,3,2,1
194,2,2,0,2.142857074737549,0,3,0,2,0
194,2,4,0,2.142857074737549,3,3,0,2,4
194,4,4,0,2.142857074737549,2,2,2,1,2
194,2,1,0,2.142857074737549,4,2,3,1,1
194,4,3,0,2.142857074737549,4,2,2,3,4
194,4,2,0,2.142857074737549,3,0,1,0,4
194,1,2,0,2.142857074737549,1,0,2,2,1
194,3,2,0,2.142857074737549,3,2,4,0,0
194,1,2,0,2.142857074737549,2,2,1,3,3
194,2,1,0,2.142857074737549,3,2,3,2,2
194,3,4,0,2.142857074737549,3,3,4,3,3
194,2,4,0,2.142857074737549,2,0,2,2,3
194,4,0,0,2.142857074737549,2,2,2,4,2
194,4,4,0,2.142857074737549,2,1,2,2,3
194,2,2,0,2.142857074737549,2,2,2,2,1
194,4,2,0,2.142857074737549,3,2,1,4,2
194,4,3,0,2.142857074737549,3,2,3,3,4
194,4,5,0,2.142857074737549,4,1,2,0,0
194,4,1,0,2.142857074737549,2,2,3,4,4
194,1,1,0,2.142857074737549,0,1,2,1,1
194,2,3,0,2.142857074737549,3,2,1,2,4
194,2,3,0,2.142857074737549,1,2,1,4,1
194,3,2,0,2.142857074737549,0,2,2,3,2
194,3,2,0,2.142857074737549,1,2,0,0,2
194,4,2,0,2.142857074737549,1,3,2,1,2
194,4,3,0,2.142857074737549,0,2,2,2,2
194,2,1,0,2.142857074737549,0,4,2,2,3
194,4,4,0,2.142857074737549,2,3,2,2,3
194,1,0,0,2.142857074737549,3,3,1,2,3
194,4,0,0,2.142857074737549,1,1,4,1,3
194,2,2,0,2.142857074737549,1,2,0,2,3
194,2,2,0,2.142857074737549,2,4,3,2,3
194,2,2,0,2.142857074737549,2,4,1,4,1
194,2,4,0,2.142857074737549,1,2,2,4,3
194,1,0,0,2.142857074737549,2,2,3,3,0
194,1,3,0,2.142857074737549,2,4,4,3,3
194,1,1,0,2.142857074737549,3,1,1,2,2
194,2,1,0,2.142857074737549,2,2,2,3,1
194,1,5,0,2.142857074737549,1,2,2,1,2
194,3,1,0,2.142857074737549,0,2,3,4,1
194,1,2,0,2.142857074737549,1,0,2,2,2
194,3,2,0,2.142857074737549,2,0,1,2,1
194,3,2,0,2.142857074737549,3,2,1,1,0
194,1,3,0,2.142857074737549,3,3,2,2,3
194,1,0,0,2.142857074737549,4,2,3,1,2
194,4,2,0,2.142857074737549,1,1,3,2,2
194,1,1,0,2.142857074737549,1,1,1,2,4
196,3,0,1,2.4838709831237793,4,4,2,3,3
196,4,2,1,2.4838709831237793,0,2,3,2,4
